Measurement date,Total daily rainfall,Maximum daily air temperature,Minimum daily air temperature
Date ,Rainfall,Air temperature,Air temperature
Units: Year month day,Units: millimetre,Units: degree Celsius,Units: degree Celsius
2012-01-01,1.9,7,4
2012-01-02,4.6,10.9,1.2
2012-01-03,0.3,7.5,1.6
2012-01-04,3.5,8.2,2.4
2012-01-05,0.05,6.4,2.8
2012-01-06,0.05,9.5,0.3
2012-01-07,0.05,7.7,1
2012-01-08,0,9.3,5.1
2012-01-09,0,9,6.8
2012-01-10,0,9.7,3
2012-01-11,2.6,10.6,5.9
2012-01-12,0.05,7.1,4.9
2012-01-13,0,5.1,0.8
2012-01-14,0,4.5,-1.4
2012-01-15,0,2.3,-4
2012-01-16,0.05,3.5,-3.3
2012-01-17,0.3,8,-4
2012-01-18,0.9,9,-0.5
2012-01-19,1.5,6,2.5
2012-01-20,2.3,9.5,1.2
2012-01-21,2.2,7.6,2.1
2012-01-22,0,7.9,4.5
2012-01-23,1.2,5.9,1.6
2012-01-24,2.4,8.8,0.4
2012-01-25,0.6,10,2
2012-01-26,0.7,5.7,0.1
2012-01-27,0.4,5.1,-0.4
2012-01-28,2.3,6,-1
2012-01-29,13,3,-0.5
2012-01-30,0.3,3,0
2012-01-31,0,2.9,0.3
2012-02-01,0,4.5,2
2012-02-02,0,2.5,-0.5
2012-02-03,0,2.8,-4.1
2012-02-04,0,2.8,-2.2
2012-02-05,1.7,6,-1
2012-02-06,0,6.7,0.7
2012-02-07,0.05,5.6,-0.5
2012-02-08,1.7,1,-5
2012-02-09,3.4,2.5,-3.5
2012-02-10,0.05,2.5,-0.5
2012-02-11,0.05,4.5,-0.5
2012-02-12,0.05,5.7,-0.5
2012-02-13,0,9.1,0.5
2012-02-14,0,9,3.2
2012-02-15,0,10.8,5.7
2012-02-16,0,8.8,3.4
2012-02-17,0.5,10,3.2
2012-02-18,0,6.5,3.2
2012-02-19,0,6.1,-1.5
2012-02-20,0,9,-0.3
2012-02-21,1.5,11.6,-0.7
2012-02-22,1.5,12.5,8.5
2012-02-23,0.05,13,9
2012-02-24,0,10,8.8
2012-02-25,0,8,3
2012-02-26,0,9.3,4.5
2012-02-27,0.8,11,5.9
2012-02-28,0.1,14.7,8.9
2012-02-29,0,11.4,7.4
2012-03-01,0.05,11.6,1.7
2012-03-02,0.5,11.5,6
2012-03-03,0.9,10.2,4
2012-03-04,4.1,5.2,1.5
2012-03-05,0.1,7.6,0.4
2012-03-06,2.6,9.9,-1.7
2012-03-07,0,9,4
2012-03-08,0,10.2,1.6
2012-03-09,0.1,11.8,6
2012-03-10,0,11.4,6.5
2012-03-11,0,13.1,6.2
2012-03-12,0,11.9,6
2012-03-13,0,8.9,5.7
2012-03-14,0,10.3,5.5
2012-03-15,0,10.9,4.1
2012-03-16,0,11.4,5.2
2012-03-17,0,11,3.3
2012-03-18,0,10,1.2
2012-03-19,0,10.5,2.2
2012-03-20,0,12.6,6.3
2012-03-21,0,12.5,5.2
2012-03-22,0,11.7,1.2
2012-03-23,0,9.9,2.2
2012-03-24,0,13.9,3.2
2012-03-25,0,18.2,3.8
2012-03-26,0,17,3.8
2012-03-27,0,20.1,6.5
2012-03-28,0,19.3,5.4
2012-03-29,0,18.5,6.4
2012-03-30,0,18,4.9
2012-03-31,0.2,8.8,4.5
2012-04-01,0.6,13.8,-0.1
2012-04-02,5.3,10.8,3.1
2012-04-03,16,7,4.6
2012-04-04,0,7.2,0.2
2012-04-05,0,11.1,-1.2
2012-04-06,3.8,10.5,4.5
2012-04-07,0.6,8.9,3.9
2012-04-08,0.4,13,4.3
2012-04-09,8.5,9.6,4.7
2012-04-10,2.8,7.8,3.1
2012-04-11,7.9,7.3,4.1
2012-04-12,1.1,8.8,0.9
2012-04-13,2.6,9.1,0.8
2012-04-14,0.1,7.5,1
2012-04-15,0.3,7.9,-0.5
2012-04-16,2.8,9.1,-2.1
2012-04-17,0,11.7,3
2012-04-18,17.1,8.6,0
2012-04-19,4.9,9.2,5.2
2012-04-20,14.1,9.7,5.2
2012-04-21,19.7,10.1,1.5
2012-04-22,1.9,10,4.5
2012-04-23,1,8.7,3.5
2012-04-24,0.5,9.7,2.2
2012-04-25,27.9,8.8,2.8
2012-04-26,13.3,7.2,5.4
2012-04-27,0.6,9.5,2.7
2012-04-28,0,8.6,1
2012-04-29,12.5,8.1,3.5
2012-04-30,0.05,9.2,4.7
2012-05-01,0.2,10.9,6.2
2012-05-02,0,9.8,6
2012-05-03,0.9,8.9,4.8
2012-05-04,0.5,8.8,4.2
2012-05-05,0,8,-0.5
2012-05-06,0,10.1,-0.5
2012-05-07,4.5,11.3,2.5
2012-05-08,1.2,13.6,4.5
2012-05-09,0,14.5,2.5
2012-05-10,20.4,10.9,5.5
2012-05-11,2.1,9.8,4.1
2012-05-12,0.2,13.6,2
2012-05-13,0.5,11.7,4.5
2012-05-14,2.9,13,4.9
2012-05-15,0.05,10.1,2.5
2012-05-16,0.2,11.5,1.2
2012-05-17,4.1,9.9,5.2
2012-05-18,1,9.6,6.1
2012-05-19,0,9.7,5.5
2012-05-20,0.2,11.2,0
2012-05-21,0,16.8,4.6
2012-05-22,0,20.8,4
2012-05-23,0,19.2,6.5
2012-05-24,0,22.4,9.2
2012-05-25,0,20.1,10.2
2012-05-26,0,17.5,6.9
2012-05-27,0,20.8,8
2012-05-28,0.6,22.5,7
2012-05-29,0.6,16.1,9.6
2012-05-30,1.9,15.6,10.6
2012-05-31,11.5,14.9,11.1
2012-06-01,0,13.9,7.6
2012-06-02,0,10,6.5
2012-06-03,0.05,12,7.1
2012-06-04,0.1,13.1,3.1
2012-06-05,5.3,15.2,3.4
2012-06-06,2.5,16.1,8.7
2012-06-07,14.6,15.5,7.1
2012-06-08,13.3,11.6,10.5
2012-06-09,1,16.2,10.5
2012-06-10,0.4,12.5,9.5
2012-06-11,0,12.4,8.9
2012-06-12,0,13,6.5
2012-06-13,0,14,5.1
2012-06-14,5.6,13.9,2.9
2012-06-15,8.2,12.1,8.2
2012-06-16,12.7,14.9,8.9
2012-06-17,0.6,14.8,8.5
2012-06-18,2.4,17.6,7.1
2012-06-19,3.2,17.5,6.8
2012-06-20,0.4,17,5.7
2012-06-21,18.5,13.5,8.5
2012-06-22,15.8,14.7,10.9
2012-06-23,7.2,15.9,10.1
2012-06-24,7.8,17.8,9.5
2012-06-25,0,14.7,8.9
2012-06-26,2.2,16.7,5.3
2012-06-27,3.8,19.5,11.6
2012-06-28,33.4,18.1,12.6
2012-06-29,0,19.4,9.5
2012-06-30,0.6,18.9,11.5
2012-07-01,1.7,16.9,7
2012-07-02,0.4,19.2,8.9
2012-07-03,1.1,19.5,11.9
2012-07-04,0.4,19.5,13.4
2012-07-05,11.2,19.8,13.9
2012-07-06,27.4,20,13.8
2012-07-07,0.4,17.4,13.5
2012-07-08,6.6,18.3,11.9
2012-07-09,3.4,18.3,11.8
2012-07-10,16.1,13.5,8.8
2012-07-11,20.1,12.8,9
2012-07-12,0.1,14.5,8.1
2012-07-13,0,14,7.7
2012-07-14,0.3,13.1,5.5
2012-07-15,0,17.1,5.4
2012-07-16,1.1,17.1,5.5
2012-07-17,4.2,18.2,8.1
2012-07-18,4.5,19.5,12.7
2012-07-19,0.1,14.8,8.9
2012-07-20,0,16,3.7
2012-07-21,0,19.6,5.9
2012-07-22,0,21,10.1
2012-07-23,0.05,23,13
2012-07-24,2.9,22,14.5
2012-07-25,0,18,12.1
2012-07-26,0,16.7,10.6
2012-07-27,0.6,19.1,10
2012-07-28,0,17.7,6.5
2012-07-29,1.6,16.8,7.9
2012-07-30,1.8,16.2,8.3
2012-07-31,4,17.1,4.8
2012-08-01,1,19,11.4
2012-08-02,0,20.1,9.8
2012-08-03,1.2,19.2,7
2012-08-04,0,20.5,9.9
2012-08-05,5.7,17.6,12.1
2012-08-06,7.5,17.8,9.1
2012-08-07,1.7,21.7,10.1
2012-08-08,0,20.6,9.6
2012-08-09,0,20.5,9.6
2012-08-10,0,19.5,7.2
2012-08-11,0,17,7.5
2012-08-12,0.2,18.4,11.8
2012-08-13,0.5,21,13.4
2012-08-14,0,23.2,12
2012-08-15,19.8,21,10
2012-08-16,1.3,22.5,11
2012-08-17,15.8,20,12.5
2012-08-18,1.5,22.3,14.1
2012-08-19,5.9,20.2,11.6
2012-08-20,0.05,22.5,9.6
2012-08-21,3.1,22.2,10.2
2012-08-22,1.5,20.1,10.5
2012-08-23,0.5,18.5,10.1
2012-08-24,5.1,16.9,10.5
2012-08-25,16.6,14.7,12.5
2012-08-26,0,14.7,9
2012-08-27,8,15.8,8.4
2012-08-28,0.05,19.3,8.4
2012-08-29,2.7,15.8,10.5
2012-08-30,0,13.2,8.2
2012-08-31,0.3,15.1,3
2012-09-01,0,18.9,9.9
2012-09-02,0,20.9,13.5
2012-09-03,0,21.2,11.9
2012-09-04,0,19.2,12.9
2012-09-05,0,18,8
2012-09-06,0,17.8,7.1
2012-09-07,0,20.1,12.1
2012-09-08,0,21.5,14.5
2012-09-09,0.4,23.2,7.8
2012-09-10,7.3,17.6,10.5
2012-09-11,0.7,13.7,5.7
2012-09-12,0.3,15.2,6.6
2012-09-13,1,15.1,5.4
2012-09-14,0,15.5,9.5
2012-09-15,0,16.9,9.5
2012-09-16,0,17.5,10
2012-09-17,0.2,17.5,7.5
2012-09-18,1,13.5,5.1
2012-09-19,0.2,14.8,3
2012-09-20,24.1,12.8,3.5
2012-09-21,1,10.6,5
2012-09-22,0,13.2,3.5
2012-09-23,11.8,11.6,2
2012-09-24,79.1,10.5,2.9
2012-09-25,13.2,12.5,8.5
2012-09-26,0.7,12.7,7.8
2012-09-27,0.2,13.1,7.6
2012-09-28,0.05,14.1,8.6
2012-09-29,0,13.9,6.6
2012-09-30,0.6,16.7,7.1
2012-10-01,0.8,11.5,8.1
2012-10-02,12.4,13.1,5.1
2012-10-03,0.5,11.2,6.2
2012-10-04,3.1,12.8,3.4
2012-10-05,0.05,12.1,4.7
2012-10-06,0,12.4,4
2012-10-07,0,12.5,2.1
2012-10-08,0,13.2,1.5
2012-10-09,0,10.6,2.3
2012-10-10,0,12.2,0.4
2012-10-11,34.9,11.7,5.8
2012-10-12,0,11.1,8.4
2012-10-13,0.3,11.5,3
2012-10-14,1.2,9.8,3.1
2012-10-15,15.9,9.6,1.8
2012-10-16,2.5,8.8,1.6
2012-10-17,13.8,12.5,0.3
2012-10-18,1.4,13,6
2012-10-19,0.1,12.9,5.6
2012-10-20,0,13.1,5.5
2012-10-21,0.5,14.8,4
2012-10-22,5.8,10.3,4.5
2012-10-23,4.4,11.2,8.1
2012-10-24,3.5,10,8.8
2012-10-25,0.7,9,4.7
2012-10-26,7.7,5.5,1.2
2012-10-27,0,9.6,-1
2012-10-28,0.2,9.5,1.5
2012-10-29,0.3,8,4.1
2012-10-30,0,8.6,1
2012-10-31,1.3,9.7,6
2012-11-01,0.2,8,1.1
2012-11-02,0.6,8.1,0.1
2012-11-03,0.3,6.1,0.4
2012-11-04,0.6,6.8,-2.5
2012-11-05,0,8,-1.5
2012-11-06,3.3,10.1,-0.1
2012-11-07,0,10.3,-1.5
2012-11-08,0.1,10.6,6.9
2012-11-09,0.4,10.5,4.1
2012-11-10,0,9.1,2.1
2012-11-11,0,8.1,2.5
2012-11-12,0.4,13,-0.6
2012-11-13,0,13,3.8
2012-11-14,0.2,12.8,8.9
2012-11-15,0,11,7.5
2012-11-16,3.1,9.9,4.5
2012-11-17,0,8.9,4.9
2012-11-18,6.3,7,1
2012-11-19,0.1,11.6,1.6
2012-11-20,0.8,13.1,5.1
2012-11-21,1,9.1,5.1
2012-11-22,4.4,12.9,2.2
2012-11-23,2.4,8.6,3.9
2012-11-24,18.8,7.9,-0.5
2012-11-25,11.1,7.9,0
2012-11-26,37.1,7.5,3.5
2012-11-27,10.4,7.5,4.5
2012-11-28,0.1,4.6,2
2012-11-29,0,4.9,-0.2
2012-11-30,4.8,3.8,-3.9
2012-12-01,1.1,3.8,0.1
2012-12-02,2,3.9,0.6
2012-12-03,0.4,5.4,-1.6
2012-12-04,1.5,5.4,0.8
2012-12-05,4.4,3,0.5
2012-12-06,14.4,5.5,-3.2
2012-12-07,5.1,6,-0.3
2012-12-08,0.3,9,1.3
2012-12-09,3.9,7.7,1.3
2012-12-10,7.4,5.8,3.4
2012-12-11,0.3,4.2,1
2012-12-12,0,2.6,-1.5
2012-12-13,0.4,3.5,-2.7
2012-12-14,19.1,7,-1.6
2012-12-15,0.3,8,3.5
2012-12-16,1.8,6.9,1.9
2012-12-17,3.7,7,1.6
2012-12-18,0.4,7.5,3.5
2012-12-19,2.4,7.2,4.1
2012-12-20,27,6.7,6.3
2012-12-21,4.3,6.6,5.2
2012-12-22,19.6,11.1,4.9
2012-12-23,0.2,8.4,6.4
2012-12-24,5,6.5,5.5
2012-12-25,1.1,6.3,1.5
2012-12-26,18.5,6.1,3.9
2012-12-27,1.2,5.5,3.5
2012-12-28,1.1,12.6,0.9
2012-12-29,0.8,8.2,4.9
2012-12-30,1.5,11,2.5
2012-12-31,0.4,11.1,3.1
2013-01-01,2,7,1.8
2013-01-02,1.5,12.9,3.3
2013-01-03,0.6,11.6,4.5
2013-01-04,0,11,8.6
2013-01-05,0.1,10.1,7.5
2013-01-06,2.9,9,5.2
2013-01-07,9.9,10.9,4.8
2013-01-08,0.4,11.8,7.4
2013-01-09,0,7.8,1.2
2013-01-10,4.3,6.1,1.4
2013-01-11,3.4,4.5,3
2013-01-12,0.2,5,2.7
2013-01-13,1.9,3.1,-0.9
2013-01-14,8.9,2.3,-0.2
2013-01-15,3.5,2.3,-0.1
2013-01-16,0.4,1.6,-3.6
2013-01-17,1,2.5,-4.2
2013-01-18,12.5,3,-2.2
2013-01-19,2.5,3,-0.4
2013-01-20,4.5,2.6,0.8
2013-01-21,11.1,3.1,1
2013-01-22,10.4,3.3,-0.5
2013-01-23,2.3,3.4,-0.1
2013-01-24,0.3,2.7,0.5
2013-01-25,4.6,4.1,-2.2
2013-01-26,7.1,7.3,-1.8
2013-01-27,0.3,6.1,2.3
2013-01-28,6.5,8.4,3.3
2013-01-29,1.8,11.4,4.1
2013-01-30,4.9,7.7,5.4
2013-01-31,1.4,8.2,4
2013-02-01,2.9,7.5,4.2
2013-02-02,0.3,6.4,1.3
2013-02-03,0.2,10.2,-0.1
2013-02-04,2.4,6.5,4.8
2013-02-05,4.6,5.3,0.2
2013-02-06,0.6,4.6,0.6
2013-02-07,1.4,4,1.1
2013-02-08,0.2,6.6,0.4
2013-02-09,0.5,6,2.6
2013-02-10,2.4,4.3,0.1
2013-02-11,0,4,2.6
2013-02-12,0,3.6,2.6
2013-02-13,5.5,4.5,0.4
2013-02-14,0,9.2,-0.8
2013-02-15,0,9.6,4
2013-02-16,0,8.2,2.4
2013-02-17,0,6.9,1
2013-02-18,0,7,-1.3
2013-02-19,0.6,5.1,-1.8
2013-02-20,0,3.9,2.8
2013-02-21,0,3.2,2.1
2013-02-22,0,2.7,1.3
2013-02-23,1,3.7,1.1
2013-02-24,2.5,4.9,0.7
2013-02-25,0,6.4,0.8
2013-02-26,0,6.4,3.3
2013-02-27,0.4,7.4,-1.7
2013-02-28,0,8.6,-1.4
2013-03-01,0,6.9,3.6
2013-03-02,0,11.4,-1.4
2013-03-03,0,6.9,4.7
2013-03-04,0,4,2.3
2013-03-05,0.2,5.7,-2.6
2013-03-06,1.3,5.6,0.4
2013-03-07,2.2,6.5,4.3
2013-03-08,5.7,4.2,4
2013-03-09,0.6,3.6,2.1
2013-03-10,0.8,3.7,1.2
2013-03-11,0.3,1.7,-3.1
2013-03-12,0.2,5.8,-1.8
2013-03-13,5.2,4.2,0.2
2013-03-14,1.6,5.6,-2.3
2013-03-15,3.4,7.6,0.9
2013-03-16,4.2,7.3,-0.3
2013-03-17,4,5.7,-0.3
2013-03-18,6.1,3.1,2.1
2013-03-19,9.5,3.3,0.7
2013-03-20,0.7,3.2,0.5
2013-03-21,0.2,3.8,-0.7
2013-03-22,0,2.4,1.1
2013-03-23,0,1.6,0.8
2013-03-24,0,2.3,0.8
2013-03-25,0,1.8,1.1
2013-03-26,0.8,2.5,-0.3
2013-03-27,0.9,3.7,-0.4
2013-03-28,0,4,0.2
2013-03-29,0,5,0.2
2013-03-30,0,4.7,-0.3
2013-03-31,0,4.3,-3
2013-04-01,0,5.9,0.8
2013-04-02,0,6.4,1.9
2013-04-03,0,6.4,-0.1
2013-04-04,1.3,6.8,1.7
2013-04-05,0,6.3,2.3
2013-04-06,0,8.3,-0.6
2013-04-07,0,5.6,1.6
2013-04-08,0,4.9,1.9
2013-04-09,0,5.9,1.6
2013-04-10,0,5,3.3
2013-04-11,0,6,3.2
2013-04-12,2.1,6.4,3.3
2013-04-13,0,15,5
2013-04-14,0,15,5
2013-04-15,0.9,14.9,10.1
2013-04-16,2.2,13.6,7.2
2013-04-17,3.4,15.6,3.7
2013-04-18,3.4,11.4,5.9
2013-04-19,0,10.4,4
2013-04-20,0.1,14.7,1.1
2013-04-21,0.5,11,3.7
2013-04-22,0,12.9,1.9
2013-04-23,0.4,14.8,6.4
2013-04-24,1.3,15.7,7.3
2013-04-25,1.2,11,6.4
2013-04-26,1.1,10.7,0.2
2013-04-27,0.2,8.2,3.4
2013-04-28,0.4,12.9,2.1
2013-04-29,0.1,12.9,3.7
2013-04-30,0,11.3,4
2013-05-01,0,14.2,1.9
2013-05-02,0,10.9,2.3
2013-05-03,0.7,14.1,6.6
2013-05-04,0,14.7,6.3
2013-05-05,0.4,16.8,6.9
2013-05-06,0,16.6,6.9
2013-05-07,0,14.6,4.4
2013-05-08,1.6,13.1,6
2013-05-09,2.1,12.2,4
2013-05-10,0.3,15.4,7
2013-05-11,0.3,13,3.5
2013-05-12,3.4,12.9,6.4
2013-05-13,0.3,11.1,3.2
2013-05-14,6.1,13.2,5.2
2013-05-15,6.9,9,4.6
2013-05-16,0.3,9.9,2.9
2013-05-17,4.4,12,6.5
2013-05-18,9.9,9.6,7.5
2013-05-19,0.3,13.1,7.7
2013-05-20,2,15.1,8.8
2013-05-21,0,11.4,8.7
2013-05-22,1.9,14.5,7.7
2013-05-23,7.5,9.5,3.8
2013-05-24,0.3,12.4,4.2
2013-05-25,0,14.9,3.2
2013-05-26,0.1,14.3,5.2
2013-05-27,0.7,12.9,3.9
2013-05-28,0.6,11.7,8.7
2013-05-29,5.8,12.3,6.7
2013-05-30,0,12,8.6
2013-05-31,0.5,13.9,5.2
2013-06-01,0,12.5,7.9
2013-06-02,0,14.3,6.9
2013-06-03,0.2,15.3,5.2
2013-06-04,0.2,14.5,6.2
2013-06-05,0,12.9,7.7
2013-06-06,0,13.5,8.5
2013-06-07,0,17.6,6.1
2013-06-08,0.1,14.1,5.1
2013-06-09,0,13.5,9.7
2013-06-10,0,13.8,9.8
2013-06-11,3.3,16.4,5.7
2013-06-12,0.8,19.5,10.3
2013-06-13,0,18.6,11.3
2013-06-14,2.4,18,7.5
2013-06-15,0.4,16.2,9.5
2013-06-16,0,15.7,9.5
2013-06-17,0,14.6,8.5
2013-06-18,0,17.4,9.5
2013-06-19,0,16.5,11
2013-06-20,1.1,16.5,6.7
2013-06-21,1.7,16.7,10.7
2013-06-22,3.5,18,11
2013-06-23,2.5,16.2,10.3
2013-06-24,0.2,14.6,10.5
2013-06-25,0,14.8,5.4
2013-06-26,0,15.3,9.3
2013-06-27,4,15.9,7.9
2013-06-28,4.9,18.5,10.8
2013-06-29,0,17.7,10.3
2013-06-30,0.2,18.4,9.6
2013-07-01,0.2,17.5,8.8
2013-07-02,4.4,17.2,8.6
2013-07-03,0.2,19.9,11.4
2013-07-04,0.1,20.7,11.3
2013-07-05,0,20.9,10.1
2013-07-06,0,24.7,10.9
2013-07-07,0,19.7,11.7
2013-07-08,0,22.4,12.4
2013-07-09,0,22.3,10.7
2013-07-10,0,15.3,12.2
2013-07-11,0,19.9,11.4
2013-07-12,0,21.7,11.1
2013-07-13,0.6,20.5,16.1
2013-07-14,0,24.6,13.2
2013-07-15,0,24.1,10.4
2013-07-16,0,22.9,12.2
2013-07-17,0,24.7,15.5
2013-07-18,0,24.1,13
2013-07-19,0,20.5,15.6
2013-07-20,0,18.2,13.2
2013-07-21,0,17.9,14.3
2013-07-22,0.2,18.2,14.9
2013-07-23,1.3,20.7,15.5
2013-07-24,4.4,20.9,14.4
2013-07-25,0.7,21.5,15.1
2013-07-26,0,22.5,12.7
2013-07-27,35.5,20,10.3
2013-07-28,11.4,20.1,13.4
2013-07-29,1.9,22.5,11.8
2013-07-30,3.2,21.2,12.3
2013-07-31,13.4,20.2,10.2
2013-08-01,0.3,20.1,13.6
2013-08-02,0,24.8,14.1
2013-08-03,0.5,20.2,11.9
2013-08-04,2.4,22.2,12.7
2013-08-05,40.3,15.6,14.1
2013-08-06,0,19,10.9
2013-08-07,0,18,9.1
2013-08-08,0.7,19.1,11.2
2013-08-09,0,20.9,12.4
2013-08-10,0.2,18.2,11.7
2013-08-11,0.2,19.5,10.4
2013-08-12,3.7,18.1,10
2013-08-13,0,17.2,8.5
2013-08-14,6.8,17.8,10.2
2013-08-15,3.3,21.6,14
2013-08-16,0.3,21.1,14.1
2013-08-17,1.3,20.3,12.1
2013-08-18,0.1,18.3,10.9
2013-08-19,0,18.7,10.3
2013-08-20,1.1,20.4,8.7
2013-08-21,0.5,20.5,13.5
2013-08-22,0.2,18,13.9
2013-08-23,0,15,5
2013-08-24,0,15,5
2013-08-25,0,18.2,13.6
2013-08-26,0,18.9,14.2
2013-08-27,0.1,18.2,11.6
2013-08-28,0,17.4,13.4
2013-08-29,0,19.8,8.9
2013-08-30,0.1,20.9,11.3
2013-08-31,0,17.8,7.1
2013-09-01,0,19.2,7.9
2013-09-02,0,22.1,14.1
2013-09-03,0,22,13.2
2013-09-04,0,22.7,7.4
2013-09-05,4.5,18.3,11.7
2013-09-06,22.1,13.6,10.5
2013-09-07,0.1,15.5,9.7
2013-09-08,0,15.1,4.6
2013-09-09,0.8,15.4,6.3
2013-09-10,0,15.1,10.1
2013-09-11,1.6,15.5,11.3
2013-09-12,5.6,19.5,9.6
2013-09-13,0.1,12.5,10.2
2013-09-14,2.2,14,7.6
2013-09-15,3.9,15.9,7.1
2013-09-16,0.2,12.9,5.1
2013-09-17,0.1,13.6,8.3
2013-09-18,2.6,15.1,6.2
2013-09-19,4.3,13,7
2013-09-20,0,15.7,7.8
2013-09-21,0,18.2,7.6
2013-09-22,0.2,21.8,12.6
2013-09-23,0,19.8,9.5
2013-09-24,1.1,14.5,12.2
2013-09-25,1.5,13.2,12.4
2013-09-26,0.5,13.9,5.6
2013-09-27,0,13.4,10.6
2013-09-28,0,15.4,7.1
2013-09-29,0,14.4,10.7
2013-09-30,0,13.8,11.5
2013-10-01,0.2,13.7,11.2
2013-10-02,3,13.3,11.3
2013-10-03,11,14.3,12.1
2013-10-04,7.7,17.3,12.2
2013-10-05,0,16.6,10.5
2013-10-06,0.3,18.8,10.8
2013-10-07,0.4,19.8,13.3
2013-10-08,0.1,17,13.3
2013-10-09,11.1,12.5,9.4
2013-10-10,1.5,11.2,6.8
2013-10-11,0,12.2,7.4
2013-10-12,0,11.2,9.8
2013-10-13,0.2,12.1,9.9
2013-10-14,4,11.7,10.3
2013-10-15,0.2,12.3,9.2
2013-10-16,28.2,11.3,4.1
2013-10-17,6.4,12.2,8.6
2013-10-18,4.4,11.8,8.7
2013-10-19,5.7,13.6,10.6
2013-10-20,0.5,14.4,7.8
2013-10-21,9.8,14.9,7.9
2013-10-22,5.6,16.9,10
2013-10-23,1.1,14.9,11.3
2013-10-24,5.5,13.7,6
2013-10-25,10.4,16.3,7.3
2013-10-26,2.7,14.9,10
2013-10-27,3.9,13,5.5
2013-10-28,0.6,12,6.6
2013-10-29,0,11.2,6.9
2013-10-30,0.5,12.1,3.2
2013-10-31,1.8,12.7,5.7
2013-11-01,0,11.3,5.8
2013-11-02,10.4,9.8,0.6
2013-11-03,0,9.9,4.1
2013-11-04,0.2,9.3,1.1
2013-11-05,0.2,7.5,-1.2
2013-11-06,0.1,8.1,2.8
2013-11-07,0.1,9.3,1.3
2013-11-08,0.4,8.3,2.5
2013-11-09,0.1,6.9,1.7
2013-11-10,4.9,8.4,1.8
2013-11-11,0.2,13.1,1.1
2013-11-12,0,10.1,4.5
2013-11-13,0.2,9.3,3.4
2013-11-14,0,8.7,5.1
2013-11-15,0,10,2.1
2013-11-16,0,11.1,5.6
2013-11-17,5.1,9.5,2.7
2013-11-18,0,8.5,3.7
2013-11-19,1.9,6.6,-1.1
2013-11-20,26.1,7.9,-1.2
2013-11-21,14.4,6.9,3.8
2013-11-22,0,5.6,2.7
2013-11-23,0.2,7.6,0.9
2013-11-24,0,7.5,4.9
2013-11-25,0,6.2,1.2
2013-11-26,0.3,10.8,0.5
2013-11-27,0,13.1,2.4
2013-11-28,0.3,9,5.6
2013-11-29,0,7.6,5.4
2013-11-30,0,8.1,4
2013-12-01,0,10.6,3.3
2013-12-02,0,8.1,2.5
2013-12-03,1,9.5,3
2013-12-04,2.5,7.7,2.6
2013-12-05,1.3,9.3,3.2
2013-12-06,0.1,5.5,0.2
2013-12-07,0.1,9.8,-0.6
2013-12-08,0.4,11.4,5.5
2013-12-09,0,12.5,9.8
2013-12-10,0,10.3,4.6
2013-12-11,0.4,10.6,4.6
2013-12-12,2.5,12.3,2
2013-12-13,0.1,12,8
2013-12-14,0.9,11.6,2.7
2013-12-15,8.2,11,3.2
2013-12-16,0,7.1,5
2013-12-17,0.1,7.5,3.1
2013-12-18,3.7,9.7,1.3
2013-12-19,2.7,5.6,3.2
2013-12-20,4.2,11.3,1.4
2013-12-21,12,9.6,4.1
2013-12-22,0.1,5.2,3.4
2013-12-23,8,9.7,1.4
2013-12-24,6.6,5.7,3
2013-12-25,0,6.5,1.7
2013-12-26,6.6,7.4,-1.5
2013-12-27,4.1,7.5,-0.2
2013-12-28,0.1,5.6,4
2013-12-29,1.4,8.9,2.7
2013-12-30,4.9,9.5,2.3
2013-12-31,1.1,7.8,2.3
